STORE,CITY,STATE,ZIP,MSA_NAME,MSA_POP,LATITUDE,LONGITUDE,LONGITUDE_CORR,MSA_INCOME,MSA_HIGH,MSA_BACH
9603,LOUISVILLE,KY,40219,LOUISVILLE-JEFFERSON COUNTY,1233735,38.141638,85.68218,-85.68218,34100,76.1,21.3
5004,CHARLOTTE,NC,28211,CHARLOTTE-GASTONIA-CONCORD,1651568,35.170094,80.79857,-80.79857,36151,80.8,27.1
5704,AUGUSTA,GA,30909,AUGUSTA-RICHMOND COUNTY,528519,33.475936,82.0697,-82.0697,28105,80.1,22.1
2504,FRANKLIN,TN,37067,NASHVILLE-MURFREESBORO-FRANKLIN,1521437,35.921811,86.7952,-86.7952,36445,81.4,26.9
5904,AIKEN,SC,29803,AUGUSTA-RICHMOND COUNTY,528519,33.486049,81.70946,-81.70946,28105,76.8,18.8
5504,PINEVILLE,NC,28134,CHARLOTTE-GASTONIA-CONCORD,1651568,35.086017,80.89034,-80.89034,36151,80.8,27.1
1202,SARASOTA,FL,34239,SARASOTA-BRADENTON-VENICE,687181,27.310924,82.5213,-82.5213,40112,84.7,24.6
3109,OGDEN,UT,84405,OGDEN-CLEARFIELD,518349,41.165551,111.9675,-111.9675,28208,87.5,26.5
9103,LOUISVILLE,KY,40207,LOUISVILLE-JEFFERSON COUNTY,1233735,38.257489,85.65134,-85.65134,34100,76.1,21.3
407,FT. WORTH,TX,76132,DALLAS-FORT WORTH-ARLINGTON,6145037,32.670345,97.4143,-97.4143,37075,79.9,28.4
4402,VERO BEACH,FL,32966,SEBASTIAN-VERO BEACH,131837,27.645377,80.51468,-80.51468,41560,85,32
7904,RICHMOND,VA,23235,RICHMOND,1212977,37.522514,77.56565,-77.56565,37169,82.6,29.2
307,IRVING,TX,75062,DALLAS-FORT WORTH-ARLINGTON,6145037,32.846645,96.96733,-96.96733,37075,79.9,28.4
8709,BROOMFIELD,CO,80021,DENVER-AURORA,2464866,39.881608,105.09953,-105.09953,42574,86.4,34.2
202,TAMPA,FL,33612,TAMPA-ST. PETERSBURG-CLEARWATER,2723949,28.048595,82.45171,-82.45171,33008,81.5,21.7
3902,SPANISH FORT,AL,36527,AL NONMETROPOLITAN AREA,5797,30.684873,87.89723,-87.89723,56099,91.9,39.1
8802,HAMMOND,LA,70403,LA NONMETROPOLITAN AREA,17639,30.484785,90.4762,-90.4762,26047,70.9,25.8
3004,CHATTANOOGA,TN,37421,CHATTANOOGA,514568,35.028574,85.15939,-85.15939,31113,79.4,22.7
6503,BEACHWOOD,OH,44122,CLEVELAND-ELYRIA-MENTOR,2096471,41.472881,81.52209,-81.52209,35542,82.9,23.3
5202,PLANTATION,FL,33388,MIAMI-FORT LAUDERDALE-POMPANO BEACH,5413212,26.120714,80.25326,-80.25326,36293,73.9,22.9
